order_year,order_month,total_sales,total_customers,total_quantity
2010,12,43419,14,14
2011,1,469795,144,144
2011,2,466307,144,144
2011,3,485165,150,150
2011,4,502042,157,157
2011,5,561647,174,174
2011,6,737793,230,230
2011,7,596710,188,188
2011,8,614516,193,193
2011,9,603047,185,185
2011,10,708164,221,221
2011,11,660507,208,208
2011,12,669395,222,222
2012,1,495363,252,252
2012,2,506992,260,260
2012,3,373478,212,212
2012,4,400324,219,219
2012,5,358866,207,207
2012,6,555142,318,318
2012,7,444533,246,246
2012,8,523887,294,294
2012,9,486149,269,269
2012,10,535125,313,313
2012,11,537918,324,324
2012,12,624454,354,483
2013,1,857758,627,1677
2013,2,771218,1373,3454
2013,3,1049732,1631,4087
2013,4,1045860,1564,3979
2013,5,1284456,1719,4400
2013,6,1642948,1948,5025
2013,7,1371595,1796,4673
2013,8,1545910,1898,4848
2013,9,1447324,1832,4616
2013,10,1673261,2073,5304
2013,11,1780688,2036,5224
2013,12,1874128,2133,5520
2014,1,45642,834,1970
